Command,Intent
Mach das Licht im Wohnzimmer an.,turn_on
Schalte die Lampe im Flur ein.,turn_on
Mach die Küchenlampe bitte an.,turn_on
Schalte das Deckenlicht im Schlafzimmer ein.,turn_on
Lass das Licht im Bad angehen.,turn_on
Mach die Wohnzimmerlampen an.,turn_on
Schalte das Licht über dem Tisch ein.,turn_on
Die Flurlampe soll angehen.,turn_on
Mach die Schrankbeleuchtung an.,turn_on
Aktiviere die Balkontlampe.,turn_on
Schalte die Arbeitszimmerlampe ein.,turn_on
Licht an der Treppe bitte an.,turn_on
Mach die Nachttischlampe an.,turn_on
Schalte die Lampe im Gästezimmer ein.,turn_on
Mach die Bettlampe an.,turn_on
Schalte die Steckdose im Wohnzimmer ein.,turn_on
Aktiviere die Steckdose in der Küche.,turn_on
Mach die Steckdose im Büro an.,turn_on
Steckdose im Flur bitte aktivieren.,turn_on
Schalte das Relais im Keller ein.,turn_on
Aktiviere die Gartensteckdose.,turn_on
Schalte die Wandsteckdose ein.,turn_on
Die Steckdose am Fenster soll an sein.,turn_on
Schalte die Steckdose beim Schreibtisch ein.,turn_on
Mach die Außensteckdose an.,turn_on
Mach das Licht im Wohnzimmer aus.,turn_off
Schalte die Lampe im Flur aus.,turn_off
Mach die Küchenlampe aus.,turn_off
Schalte das Deckenlicht im Schlafzimmer aus.,turn_off
Licht im Bad bitte ausmachen.,turn_off
Schalte die Wohnzimmerlampen aus.,turn_off
Mach das Licht über dem Tisch aus.,turn_off
Die Flurlampe soll ausgehen.,turn_off
Mach die Schrankbeleuchtung aus.,turn_off
Schalte die Balkonlampe aus.,turn_off
Mach die Arbeitszimmerlampe aus.,turn_off
Licht an der Treppe aus.,turn_off
Schalte die Nachttischlampe ab.,turn_off
Lampe im Gästezimmer aus.,turn_off
Mach die Bettlampe aus.,turn_off
Schalte die Steckdose im Wohnzimmer aus.,turn_off
Deaktiviere die Steckdose in der Küche.,turn_off
Mach die Steckdose im Büro aus.,turn_off
Steckdose im Flur bitte deaktivieren.,turn_off
Schalte das Relais im Keller aus.,turn_off
Deaktiviere die Gartensteckdose.,turn_off
Schalte die Wandsteckdose ab.,turn_off
Mach die Steckdose am Fenster aus.,turn_off
Schalte die Schreibtischsteckdose aus.,turn_off
Deaktiviere die Außensteckdose.,turn_off
Schalte das Licht im Wohnzimmer um.,toggle
Wechsle den Zustand der Lampe im Flur.,toggle
Schalte die Küchenlampe um.,toggle
Deckenlicht im Schlafzimmer umschalten.,toggle
Licht im Bad toggeln.,toggle
Wohnzimmerlampen bitte umschalten.,toggle
Lampe über dem Tisch toggeln.,toggle
Flurlampe umschalten.,toggle
Schrankbeleuchtung toggeln.,toggle
Balkonlampe umschalten.,toggle
Arbeitszimmerlampe toggeln.,toggle
Treppenlicht umschalten.,toggle
Nachttischlampe toggeln.,toggle
Gästezimmerlampe umschalten.,toggle
Bettlampe toggeln.,toggle
Schalte die Steckdose im Wohnzimmer um.,toggle
Steckdose in der Küche toggeln.,toggle
Bürosteckdose umschalten.,toggle
Steckdose im Flur umschalten.,toggle
Relais im Keller toggeln.,toggle
Gartensteckdose umschalten.,toggle
Wandsteckdose toggeln.,toggle
Steckdose am Fenster umschalten.,toggle
Schreibtischsteckdose toggeln.,toggle
Außensteckdose umschalten.,toggle
Lass das Wohnzimmerlicht kurz flashen.,flash
Die Lampe im Flur soll einmal flashen.,flash
Küchenlampe kurz aufblitzen lassen.,flash
Schlafzimmerlicht flashen.,flash
Badlampe kurz blinken lassen.,flash
Wohnzimmerlampen als Signal flashen.,flash
Lampe über dem Tisch kurz flashen.,flash
Flurlampe kurz blinken lassen.,flash
Schrankbeleuchtung flashen.,flash
Balkonlampe kurz aufblitzen.,flash
Arbeitszimmerlicht flashen.,flash
Treppenlicht kurz aufblitzen lassen.,flash
Nachttischlampe kurz flashen.,flash
Gästezimmerlampe blinken lassen.,flash
Bettlampe kurz aufleuchten lassen.,flash
Steckdose im Wohnzimmer kurz blinken lassen.,flash
Steckdose in der Küche kurz flashen.,flash
Bürosteckdose als Signal flashen.,flash
Steckdose im Flur kurz aufblitzen.,flash
Relais im Keller kurz blinken lassen.,flash
Gartensteckdose kurz flashen.,flash
Wandsteckdose aufblitzen lassen.,flash
Steckdose am Fenster kurz flashen.,flash
Schreibtischsteckdose kurz aufblitzen.,flash
Außensteckdose kurz flashen.,flashs